Year,Population, Population_Growth,Forest_Loss, Agricultural_Expansion,Settlement_Expansion
2001,4490356,2.7007,5065.7183,3002.5991,1507.8026
2002,4520109,2.6953,5069.4289,3024.3929,1509.3584
2003,4514959,2.6942,5086.5516,3026.1595,1505.1241
2004,4505550,2.7053,5022.1009,3015.1455,1521.0259
2005,4503909,2.6924,5071.8503,3017.5132,1500.5467
2006,4512721,2.7038,5026.9614,3015.9387,1522.9352
2007,4501590,2.6987,5012.9411,3042.5097,1520.9059
2008,4514404,2.6976,5040.4804,3028.3322,1511.2700
2009,4510659,2.7057,5043.7560,3029.0308,1527.6049
2010,4518587,2.6999,5035.7181,3029.2465,1515.6469
2011,4510617,2.6940,5065.4895,3033.6256,1516.1310
2012,4514245,2.7018,4998.4879,2999.7920,1511.1030
2013,4513584,2.7040,5068.6100,3009.8772,1520.5006
2014,4496853,2.6948,5064.2371,3015.4254,1513.6852
2015,4523369,2.7019,5044.2151,3017.6603,1511.1677
2016,4503417,2.7049,5040.1794,3043.6197,1519.5279
2017,4513319,2.6983,5042.7106,3026.3328,1526.3369
2018,4524695,2.6991,5066.0325,3021.2939,1518.4047
2019,4509547,2.6937,5100.1422,3010.2563,1517.7573
2020,4501011,2.6988,5002.6588,3019.7449,1517.2321
2021,4521252,2.6985,5075.9740,3028.5393,1518.9124
2022,4500202,2.6902,5052.5706,3020.9601,1511.6823
2023,4514236,2.7013,5050.6787,3011.8535,1508.1805
